x,y,z
464930.0055,4428213.345,2231.767289
464930.0549,4428236.585,2245.907733
464929.9729,4428257.794,2255.480966
464928.3977,4428281.319,2263.24442
464929.7642,4428303.509,2271.938538
464930.5736,4428326.273,2284.287373
464929.4765,4428349.21,2299.683652
464929.5109,4428371.187,2309.744428
464929.9257,4428393.627,2310.488803
464929.6965,4428416.787,2313.774131
464929.1965,4428437.78,2316.055031
464929.5816,4428460.758,2316.96262
464929.8671,4428483.056,2315.210079
464929.8331,4428505.146,2313.979885
464928.9642,4428527.515,2305.919658
464928.9406,4428550.264,2289.517242
464928.6035,4428574.073,2272.207677
464929.2417,4428594.794,2255.907188
464929.7204,4428616.48,2243.364631
464951.3425,4427967.502,2229.524486
464951.0139,4427989.713,2213.285142
464951.3266,4428012.195,2210.920234
464951.6157,4428034.303,2203.100066
464950.2596,4428057.36,2176.230961
464950.7067,4428079.508,2157.395038
464951.2406,4428102.482,2139.667092
464951.2591,4428124.253,2141.105863
464951.1733,4428146.73,2152.518685
464951.2738,4428169.283,2172.49704
464950.9178,4428192.072,2201.902578
464950.9308,4428214.093,2216.568923
464951.4529,4428236.405,2226.046113
464951.4533,4428259.041,2236.872621
464952.585,4428280.819,2245.432997
464951.5703,4428303.806,2264.08836
464951.7061,4428325.755,2279.175601
464950.8501,4428348.829,2296.423107
464951.4487,4428371.439,2300.39184
464950.7636,4428393.098,2302.332663
464951.3898,4428416.607,2307.119907
464951.2086,4428437.271,2308.300907
464951.2214,4428460.781,2309.13106
464951.196,4428482.947,2309.099348
464951.1926,4428504.823,2305.30108
464951.2353,4428527.816,2292.928256
464951.2096,4428550.312,2279.138224
464950.9954,4428573.695,2267.204695
464951.0724,4428594.618,2254.780615
464951.4314,4428616.84,2236.81103
464973.4845,4427966.914,2232.618463
464973.79,4427989.594,2229.178042
464973.5221,4428012.267,2239.431172
464973.5945,4428034.435,2225.958915
464973.5658,4428056.685,2204.492147
464973.4975,4428079.818,2176.001747
464973.5565,4428101.767,2147.624863
464972.8749,4428124.441,2137.594552
464973.1911,4428146.86,2140.045465
464973.4205,4428169.531,2159.990617
464973.4647,4428191.789,2175.453849
464973.0531,4428214.469,2197.70389
464973.7519,4428235.967,2209.370946
464973.2987,4428259.199,2220.465343
464972.6331,4428278.929,2239.026661
464973.5793,4428303.727,2261.694908
464973.0101,4428326.527,2279.64017
464972.2401,4428348.715,2289.709611
464972.4615,4428371.846,2293.109532
464973.333,4428393.299,2294.9855
464973.382,4428415.519,2298.407454
464973.4563,4428437.243,2300.308159
464972.9296,4428460.384,2299.206223
464973.1886,4428483.162,2300.771341
464973.0227,4428505.103,2299.978293
464973.2077,4428527.834,2285.044206
464973.3661,4428550.392,2268.669169
464973.6759,4428574.096,2254.562446
464973.5798,4428594.639,2241.569136
464973.6087,4428617.424,2229.864841
464994.9789,4427967.113,2246.403559
464995.3123,4427989.864,2245.222906
464995.5234,4428011.947,2252.490376
464995.0932,4428034.929,2238.812527
464995.2807,4428056.887,2215.341303
464995.2901,4428079.453,2191.639443
464995.7122,4428101.673,2167.669326
464995.3396,4428124.253,2138.515875
464995.3436,4428146.785,2136.172923
464995.295,4428169.382,2144.106539
464995.7435,4428192.084,2167.092756
464995.4303,4428214.036,2181.764895
464995.0647,4428236.097,2201.702253
464995.598,4428257.857,2216.863265
464995.8135,4428279.947,2237.645662
464995.9806,4428303.393,2256.464702
464995.8071,4428326.013,2273.560009
464995.9378,4428348.135,2279.192481
464995.135,4428371.324,2279.902755
464995.6968,4428393.989,2287.287855
464994.7063,4428415.963,2289.201148
464995.3902,4428437.819,2291.041215
464995.5668,4428460.144,2291.063316
464995.3322,4428483.283,2292.072383
464995.4675,4428505.183,2296.358247
464995.2678,4428528.064,2286.312741
464995.5288,4428550.144,2270.439565
464995.3543,4428574.37,2250.518742
464994.9384,4428594.911,2235.712018
464994.9251,4428617.55,2213.21721
465017.2453,4427967.904,2260.902908
465017.8856,4427989.416,2263.146313
465017.4649,4428012.282,2259.468402
465017.3917,4428034.304,2250.612012
465017.4807,4428056.881,2222.794747
465017.2315,4428079.63,2199.0887
465017.472,4428101.606,2176.390278
465017.4588,4428124.634,2143.858352
465017.9162,4428146.846,2133.273195
465017.6882,4428168.52,2138.276275
465017.4452,4428191.679,2155.168774
465017.1951,4428214.393,2186.275086
465017.4479,4428236.011,2204.976618
465017.4918,4428257.792,2218.878028
465017.3042,4428280.537,2229.953247
465017.6202,4428303.234,2245.315861
465017.228,4428326.163,2261.306382
465018.0913,4428348.836,2267.061183
465018.0083,4428371.579,2267.692451
465018.0075,4428393.76,2277.793223
465018.0635,4428415.987,2279.669805
465017.1892,4428438.45,2282.141002
465018.0452,4428459.943,2281.208527
465017.7205,4428482.835,2284.678994
465018.2752,4428504.935,2286.714161
465018.2554,4428527.672,2276.595198
465017.8375,4428550.481,2262.091029
465017.7515,4428574.162,2246.358651
465017.6382,4428594.805,2230.325655
465017.4743,4428617.491,2208.084756
465039.4618,4427967.31,2269.761153
465038.6545,4427990.297,2268.224563
465039.1049,4428012.266,2262.28312
465039.5004,4428034.757,2246.181987
465039.4448,4428056.718,2225.300062
465039.067,4428079.426,2201.611694
465039.2969,4428101.829,2178.079578
465039.0894,4428123.751,2151.758398
465038.7966,4428146.701,2132.483689
465037.6971,4428169.261,2133.802597
465037.7947,4428191.702,2150.311976
465037.6826,4428214.801,2180.792214
465038.9718,4428236.763,2191.748161
465038.5444,4428258.459,2208.422909
465038.2525,4428280.139,2220.466492
465038.3796,4428303.653,2245.331156
465038.4294,4428326.452,2257.39561
465038.7845,4428348.793,2249.693342
465038.7491,4428370.966,2257.745384
465038.56,4428393.443,2268.45974
465038.2601,4428415.791,2270.979744
465038.33,4428438.271,2271.252975
465038.6176,4428460.784,2273.474417
465039.0624,4428482.539,2278.232407
465038.9039,4428504.618,2276.620819
465038.4799,4428527.323,2266.517085
465038.613,4428549.788,2252.078206
465038.8091,4428573.951,2236.738737
465038.8963,4428595.321,2221.189118
465039.0218,4428617.874,2202.843866
465061.0331,4427967.234,2278.464308
465061.2799,4427990.126,2275.372104
465060.6584,4428012.547,2262.011407
465061.0221,4428034.814,2243.651545
465061.7637,4428056.599,2227.359416
465061.0701,4428079.171,2207.728122
465061.2027,4428101.808,2186.827657
465061.0353,4428124.075,2158.908061
465060.4263,4428146.87,2131.077116
465061.4968,4428168.602,2130.573106
465061.3394,4428191.568,2138.881128
465061.4754,4428214.756,2162.458924
465060.6287,4428236.138,2183.572078
465061.1858,4428258.266,2204.308715
465060.636,4428280.906,2221.294376
465061.0279,4428304.32,2233.819045
465061.3213,4428326.382,2234.808581
465060.6503,4428348.94,2236.762267
465060.7472,4428370.885,2249.307407
465060.9231,4428393.43,2258.839527
465060.7161,4428416.204,2260.15417
465060.9965,4428438.785,2261.862088
465060.9341,4428461.321,2267.808439
465060.4655,4428482.884,2273.497713
465061.3035,4428505.044,2271.707988
465061.9087,4428527.349,2260.984851
465061.5449,4428550.075,2244.341026
465061.4035,4428573.743,2227.650769
465061.44,4428595.252,2216.753409
465060.7427,4428616.866,2199.183025
465083.3587,4427967.235,2284.195717
465083.0213,4427989.917,2274.082238
465083.2891,4428012.341,2260.512945
465083.051,4428035.239,2244.777491
465083.1235,4428056.784,2230.114798
465082.9202,4428079.481,2213.12612
465083.0491,4428101.805,2196.531963
465082.5343,4428124.372,2165.106276
465083.4733,4428146.455,2135.731556
465082.6484,4428169.584,2128.129818
